Movie,Character_ID,Line_Index,Dialogue,Character
Deathly Hallows: Part 1,RON_66,3553,"Yeah. Brilliant. Only, correct me if I’m wrong... wasn’t that yesterday’s plan? And the day before that? And the day before that? Walk. Sleep. Walk. Sleep. Harry stares at Ron, then begins to walk toward him. Hermione watches silently. Ron stands utterly still. When Harry stops, he simply nods to Ron’s neck.",RON
Deathly Hallows: Part 1,RON_71,3715,"Problem? There’s no problem. Not according to you, anyway. HARRY POTTER AND THE DEATHLY... - PT. 1 - Rev. 6/11/10 81A. 109 CONTINUED: (3) 109 Heavy DROPS of rain begin to PELT the canvas of the tent. Plunk. Plunk. Plunk.",RON
Deathly Hallows: Part 1,RON_20,1359,Wicked. HARRY POTTER AND THE DEATHLY... - PT. 1 - Rev. 6/11/10 30. 39 CONTINUED: (2) 39,RON
Deathly Hallows: Part 1,RON_117,5075,But what does it mean? They all look down at the symbol etched in Dumbledore’s fine hand in the book.,RON
Deathly Hallows: Part 1,HERMIONE_178,5045,See this? It’s a letter Dumbledore wrote to Grindelwald. Look at the signature. It’s the mark again. Hermione turns the book in Harry’s direction. Dumbledore replaced the “A” in Albus with the TRIANGULAR EYE.,HERMIONE
Deathly Hallows: Part 1,HERMIONE_64,3135,"It scares me a bit, that, thinking it’s a piece of Vol--",HERMIONE
Deathly Hallows: Part 1,RON_133,5509,"Nooooooooo! Instantly, out the window, FIGURES on BROOMSTICKS appear in the sky, jetting directly toward the house. As Harry, Ron and Hermione hit the floor, ROPES of LIGHT ricochet off the windowsill. The printing press EXPLODES, raining Quibblers everywhere, like a flock of doves, smoking with flames. Lovegood waves madly from the window.",RON
Deathly Hallows: Part 1,RON_31,1838,"So what do we do with you, huh? Kill us if it was turned round, wouldn’t you? Ron’s face is hard. Hermione eyes him uneasily. He notices.",RON
Deathly Hallows: Part 1,SNAPE_1,236,It will happen Saturday next. At nightfall.,SNAPE
Deathly Hallows: Part 1,RON_26,1752,"They were after you, mate. We’d just put everyone in danger going back.",RON
Deathly Hallows: Part 1,HERMIONE_141,4317,"Harry! As Harry rolls onto his back, gasping for breath, Nagini’s massive body rolls over him, the Horcrux ticking feverishly against his chest. As Harry ROARS in pain, the lenses of his GLASSES fracture. The bedroom door swings open, reveals Hermione silhouetted against the stairwell, wand poised. A FLASH OF RED LIGHT ricochets around the room and Nagini’s tail whips angrily about, shattering the bedroom window. Hermione dives aside and Harry covers his face as the curtains burst into flames and shards of glass shower the room in a rush of cold air. As Harry reclaims his wand and rises, Nagini’s body uncoils in fury, splintering furniture and blasting holes into the walls.",HERMIONE
