movie,character,speech_id,text
sorcerer_s_stone,RON,702,We play.
sorcerer_s_stone,RON,704,You there...d5
sorcerer_s_stone,RON,706,Think...Think.
sorcerer_s_stone,HERMIONE,761,Never better.
deathly_hallows_part2,HERMIONE,4,Not long.
deathly_hallows_part2,RON,53,Sss.
deathly_hallows_part2,RON,61,Like hell!
deathly_hallows_part2,RON,62,Expelliarmus!
deathly_hallows_part2,HERMIONE,134,Positive.
deathly_hallows_part2,RON,162,Go on.
deathly_hallows_part2,RON,165,Hideous.
deathly_hallows_part2,RON,170,Hey. Easy.
deathly_hallows_part2,RON,199,Imperio!
deathly_hallows_part2,RON,210,Blimey...
deathly_hallows_part2,HERMIONE,214,It’s hot!
deathly_hallows_part2,RON,220,Keep going!
deathly_hallows_part2,HERMIONE,222,In here!
deathly_hallows_part2,RON,228,That’s unfortunate.
deathly_hallows_part2,HERMIONE,232,Relashio!
deathly_hallows_part2,RON,237,Bloody hell.
deathly_hallows_part2,HERMIONE,240,When?
deathly_hallows_part2,VOLDEMORT,347,Begin.
deathly_hallows_part2,HERMIONE,372,I’m scared.
deathly_hallows_part2,RON,373,Me too.
deathly_hallows_part2,HERMIONE,376,Not this.
deathly_hallows_part2,RON,415,What?
deathly_hallows_part2,RON,416,Brilliant.
deathly_hallows_part2,RON,418,Let’s go.
deathly_hallows_part2,HERMIONE,419,Brilliant.
deathly_hallows_part2,RON,447,Brilliant.
deathly_hallows_part2,VOLDEMORT,448,Nagini. Come.
deathly_hallows_part2,HERMIONE,451,Someplace safe.
deathly_hallows_part2,HERMIONE,461,NO!
deathly_hallows_part2,VOLDEMORT,466,Does it?
deathly_hallows_part2,SNAPE,467,My Lord?
deathly_hallows_part2,VOLDEMORT,474,Kill.
deathly_hallows_part2,VOLDEMORT,475,Nagini! Come!
deathly_hallows_part2,SNAPE,476,Please.
deathly_hallows_part2,SNAPE,490,Yes.
deathly_hallows_part2,SNAPE,497,Anything.
deathly_hallows_part2,SNAPE,499,DON’T!
deathly_hallows_part2,SNAPE,525,Expecto Patronum!
deathly_hallows_part2,SNAPE,527,Always...
deathly_hallows_part2,VOLDEMORT,622,SILENCE!
deathly_hallows_part2,RON,625,Liar!
deathly_hallows_part2,VOLDEMORT,648,Nagini!
deathly_hallows_part2,VOLDEMORT,649,Die! Die!
deathly_hallows_part2,HERMIONE,658,Yes!
deathly_hallows_part2,HERMIONE,676,We?
deathly_hallows_part1,HERMIONE,3,"Coming, Mum."
deathly_hallows_part1,HERMIONE,9,Obliviate.
deathly_hallows_part1,HERMIONE,10,Goodbye.
deathly_hallows_part1,VOLDEMORT,44,Avada Kedavra!
deathly_hallows_part1,VOLDEMORT,45,Nagini... Dinner.
deathly_hallows_part1,VOLDEMORT,93,Avada..
deathly_hallows_part1,HERMIONE,113,Really?
deathly_hallows_part1,RON,170,Wicked.
deathly_hallows_part1,HERMIONE,222,This way!
deathly_hallows_part1,HERMIONE,241,Petrificus Totalus!
deathly_hallows_part1,HERMIONE,242,Go.
deathly_hallows_part1,HERMIONE,249,Obliviate.
deathly_hallows_part1,RON,253,What?
deathly_hallows_part1,HERMIONE,256,Right. Perspective.
deathly_hallows_part1,HERMIONE,262,Homenum revelio.
deathly_hallows_part1,HERMIONE,264,We’re alone.
deathly_hallows_part1,HERMIONE,271,Lovely.
deathly_hallows_part1,RON,276,Kreacher...
deathly_hallows_part1,RON,305,Wicked trainers.
deathly_hallows_part1,HERMIONE,344,Relashio!
deathly_hallows_part1,RON,349,Piss off.
deathly_hallows_part1,HERMIONE,352,Quickly!
deathly_hallows_part1,HERMIONE,374,Tea?
deathly_hallows_part1,RON,377,... alive.
deathly_hallows_part1,HERMIONE,381,Incendio!
deathly_hallows_part1,HERMIONE,383,Confringo!
deathly_hallows_part1,RON,384,It’s angry.
deathly_hallows_part1,HERMIONE,409,Better?
deathly_hallows_part1,RON,419,I’m hungry.
deathly_hallows_part1,RON,421,I’m hungry.
deathly_hallows_part1,RON,423,Leave it.
deathly_hallows_part1,HERMIONE,427,Good plan.
deathly_hallows_part1,HERMIONE,470,Stop! Stop!
deathly_hallows_part1,RON,472,And you?
deathly_hallows_part1,HERMIONE,473,Me?
deathly_hallows_part1,HERMIONE,499,Harry.
deathly_hallows_part1,HERMIONE,504,Lumos.
deathly_hallows_part1,HERMIONE,509,Harry...
deathly_hallows_part1,HERMIONE,517,Omigod. Harry...
deathly_hallows_part1,HERMIONE,526,Why?
deathly_hallows_part1,HERMIONE,528,Harry...
deathly_hallows_part1,HERMIONE,535,Yes.
deathly_hallows_part1,HERMIONE,542,Yes.
deathly_hallows_part1,RON,566,Right. Antlers.
deathly_hallows_part1,RON,569,Anything?
deathly_hallows_part1,RON,591,Hey.
deathly_hallows_part1,RON,604,With this.
deathly_hallows_part1,RON,607,A voice.
deathly_hallows_part1,RON,623,Wo.
deathly_hallows_part1,HARRY/RON,625,Nothing.
deathly_hallows_part1,HERMIONE,631,Where?
deathly_hallows_part1,RON,639,Luna?
deathly_hallows_part1,RON,686,Nooooooooo!
deathly_hallows_part1,HERMIONE,700,Stop it!
deathly_hallows_part1,RON,706,Stan Shunpike.
deathly_hallows_part1,RON,708,Weasley...
deathly_hallows_part1,HERMIONE,721,Not long.
chamber_of_secrets_speeches,DUMBLEDORE,287,Argus!
the_order_phoenix,DUMBLEDORE,374,Everard.
the_order_phoenix,DUMBLEDORE,435,Naturally.
the_order_phoenix,DUMBLEDORE,645,Harry--
the_order_phoenix,DUMBLEDORE,668,Yes.
goblet_of_fire_all_speeches,DUMBLEDORE,108,Igor.
goblet_of_fire_all_speeches,DUMBLEDORE,122,Silence!
goblet_of_fire_all_speeches,DUMBLEDORE,462,Harry!
goblet_of_fire_all_speeches,DUMBLEDORE,583,Harry! Harry!
goblet_of_fire_all_speeches,DUMBLEDORE,594,Severus...
deathly_hallows_part2_all_speeches,DUMBLEDORE,511,How long?
deathly_hallows_part2_all_speeches,DUMBLEDORE,564,"Oh, yes."
deathly_hallows_part2_all_speeches,DUMBLEDORE,568,Not.
deathly_hallows_part2_all_speeches,DUMBLEDORE,588,Yes.
deathly_hallows_part2_all_speeches,DUMBLEDORE,596,On.
deathly_hallows_part2_all_speeches,DUMBLEDORE,598,True.
deathly_hallows_part2_all_speeches,DUMBLEDORE,600,Yes.
deathly_hallows_part2_all_speeches,DUMBLEDORE,607,Luck.
half_blood_prince_all_speeches,DUMBLEDORE,46,Lumos...
half_blood_prince_all_speeches,DUMBLEDORE,47,Horace!
half_blood_prince_all_speeches,DUMBLEDORE,220,Do you?
half_blood_prince_all_speeches,DUMBLEDORE,265,I did.
half_blood_prince_all_speeches,DUMBLEDORE,267,Yes.
half_blood_prince_all_speeches,DUMBLEDORE,522,Why indeed.
half_blood_prince_all_speeches,DUMBLEDORE,592,Why indeed.
half_blood_prince_all_speeches,DUMBLEDORE,769,Perhaps not.
half_blood_prince_all_speeches,DUMBLEDORE,774,Yes.
half_blood_prince_all_speeches,DUMBLEDORE,786,Nooooooo!!!
half_blood_prince_all_speeches,DUMBLEDORE,797,Water.
half_blood_prince_all_speeches,DUMBLEDORE,798,Water...
half_blood_prince_all_speeches,DUMBLEDORE,801,Water!
half_blood_prince_all_speeches,DUMBLEDORE,803,Go...
half_blood_prince_all_speeches,DUMBLEDORE,813,Trust me.
half_blood_prince_all_speeches,DUMBLEDORE,833,Severus...
half_blood_prince_all_speeches,DUMBLEDORE,835,Severus... please.
prisoner_azkaban_all_speeches,DUMBLEDORE,581,Scabbers...?
prisoner_azkaban_all_speeches,DUMBLEDORE,685,Well?
prisoner_azkaban_all_speeches,DUMBLEDORE,687,Did what?
