character	speech_id	text
OLLIVANDER	118	Walnut and dragon heartstring. Twelve and three quarter inches. Unyielding. This belongs to
HARRY	119	And this?
OLLIVANDER	120	Hawthorn. Unicorn hair. Ten inches. Reasonably pliant. This was the wand of Draco Malfoy.
HARRY	121	Was? Isn’t it still?
OLLIVANDER	122	Perhaps not -- if you won it from him. I sense its allegiance has changed.
HARRY	123	You talk about wands like they’ve got feelings. Can think.
HARRY	124	What do you know about the Deathly Hallows, sir?
OLLIVANDER	125	There are rumored to be three:
HARRY	126	But you, sir? Do you believe they exist?
OLLIVANDER	127	I see no reason to put stock in an old wives tale --
HARRY	128	You’re lying. You know one exists and you told him about it. You
OLLIVANDER	129	He tortured me! Besides, I conveyed only rumors. There’s no
HARRY	130	That’s all, sir. We’ll leave you to get some rest now.
OLLIVANDER	131	He’s after you, Mr. Potter. If it’s true, what you say, that he has the Elder Wand, I’m afraid you really don’t stand a chance.
HARRY	132	Then I guess I’ll just have to
RON	133	You’re sure it’s hers?
HERMIONE	134	Positive.
HARRY	135	I reckon you should take this then.
HERMIONE	136	Can’t I use the other?
RON	137	You heard Ollivander. It’s Harry’s now.
HERMIONE	138	But I hate that thing -- that’s
HARRY	139	If I can hold it, you can.
RON	140	How will we know what it is when we get in there? After all, a Horcrux can be anything.
HARRY	141	I’ll know. I can’t explain. It’s like...
RON	142	That’s a bit scary.
HERMIONE	143	It is, Harry. Did Dumbledore ever say anything to you, something that might explain why --
HARRY	144	No. I just know. When one’s near.
HERMIONE	145	It’s perfect. Thank you, Fleur.
BILL	146	You’re leaving, aren’t you.
HARRY	147	In the morning.
BILL	148	And Griphook?
BILL	149	Listen, I don’t know what you’re up to, but I know goblins. If you’ve struck any kind of bargain with Griphook, you must be exceptionally careful to live up to it. If you don’t... he won’t be forgiving.
LUNA	150	My father used to say that when a child died.
LUNA	151	Funny how Mr. Dobby knew exactly where to find us.
HARRY	152	Yeah. Funny. Listen, Luna, about your father, I don’t want you to think I --
LUNA	153	I know you understand why my
HARRY	154	Hogwarts?
HARRY	155	It’s not the place you left, you know. It’s not the same.
LUNA	156	Neither am I.
RON	157	What d’you think?
HARRY	158	Wouldn’t know you if I didn’t know you.
RON	159	You want to tell me what that is?
RON	160	You mean he could see you?
HARRY	161	Something like that. I don’t know. He died before I ever got to use it. The thing is...
RON	162	Go on.
HARRY	163	You’ll think I’m mental, but more than once, when I’ve looked into it -- I think I’ve seen Dumbledore. As Ron reacts, Harry’s eyes shift. Bellatrix Lestrange and Griphook, clutching the sword, approach from the cottage.
RON	164	Bloody hell... that’s a sight.
RON	165	Hideous.
RON	166	Couldn’t do anything about that bit in the back that’s always flipping up, could you? Dead annoying --
RON	167	Never mind. I’m good.
HARRY	168	You can give that to Hermione to hold, all right, Griphook?
GRIPHOOK	169	Good morning? Good morning? You’re Bellatrix Lestrange, not some dewy-eyed schoolgirl!
RON	170	Hey. Easy.
GRIPHOOK	171	She gives us away and we might as well use that sword to slit our own throats. Understand?
HERMIONE	172	He’s right. I was being stupid.
HARRY	173	C’mon. Let’s do it. A GUST of WIND BLOWS and we SHIFT TO a FADING POSTER of
AGED GOBLIN	174	Identification.
AGED GOBLIN	175	I see. Very well. Excuse me, won’t you?
TALL GOBLIN	176	Next.
RON	177	What do you mean?
RON	178	Harry, what do we do? Harry...?
ANOTHER ANGLE	179	CAMERA MOVING TOWARDS Hermione, simulating Harry’s
BOGROD	180	It’s the bank’s policy. I’m sure you understand, given the current climate --
BOGROD	181	I’m afraid I must insist. As the guard closes on Ron, Ron looks about frantically,
BOGROD	182	Very well, Madam Lestrange. If you will follow me.
AGED GOBLIN	183	But... Bogrod, there have been special instructions regarding the Lestrange vault.
BOGROD	184	I’m fully aware of that. I’m also aware the Lestranges are one of our oldest and most respected families.
AGED GOBLIN	185	Yes, sir, but our instructions are very specific --
BOGROD	186	Let me be specific with you, Ricbert. I’ve run this bank for forty-five years, long before anyone had even heard of a Death
BOGROD	187	Madam, if you will, I will escort you myself.
GRIPHOOK	188	Time will tell. Harry’s eyes meet Griphook’s in the flickering darkness, then Ron’s face appears over Harry’s shoulder.
RON	189	What’s that? Up ahead. Ron points. In the distance, directly over the tracks, something SHIMMERS like a CURTAIN of WATER.
GRIPHOOK	190	I should have known -- Furiously, Griphook starts to throw levers, trying to slow the cart.
HARRY	191	What is that, Griphook?
HARRY	192	Griphook! What is that!
HARRY	193	Well done. Hey.
RON	194	You don’t say.
GRIPHOOK	195	No. Before the trio can savor this tidbit:
BOGROD	196	What the devil are you all doing down here!
GRIPHOOK	197	We need him!
BOGROD	198	Is this your doing, Griphook? You have no rights here anymore. When you gave up your keys, you --
RON	199	Imperio!
GRIPHOOK	200	Well done.
RON	201	No. It’s not possible...
RON	202	Bloody hell. That’s a Welsh Green.
HERMIONE	203	It looks like it’s been down here forever.
GRIPHOOK	204	Go on.
RON	205	It’s been trained to expect pain when it hears the noise. Hermione’s eyes flash to Ron, then to the SCARS on the dragon’s face and neck.
HERMIONE	206	That’s barbaric. I...
GRIPHOOK	207	We’ll only have a few seconds. In
GRIPHOOK	208	Ready, Bogrod?
BOGROD	209	Hm? Oh. Yes. Of course.
RON	210	Blimey...
HERMIONE	211	Look. Hermione crosses to what appears to be the Sword of Gryffindor.
HERMIONE	212	No wonder Bellatrix thought it was real.
RON	213	Is it here, Harry? Can you feel anything?
HERMIONE	214	It’s hot! All eyes turn to the bowl, WOBBLING MADLY on the floor, when... it SPLITS APART and begins to MULTIPLY.
HERMIONE	215	Ron, your foot! It’s SMOKING. As Ron stamps the ground, Harry pivots, tipping a towering STACK of GALLEONS to the floor where
GRIPHOOK	216	We’ll be crushed! Hurry!
HARRY	217	That’s it. Up there.
HERMIONE	218	How’re we going to reach it?
HARRY	219	Give me the sword! The real one.
RON	220	Keep going!
HERMIONE	221	Harry! Behind you!
HERMIONE	222	In here!
HARRY	223	We have a deal, Griphook.
GRIPHOOK	224	I said I’d get you in. I never said anything about getting you out.
HARRY	225	Griphook! Griphook! But Griphook merely looks back, grins madly and, sword in hand, rushes to join the approaching throng.
GRIPHOOK	226	Thieves! Help! Thieves!
RON	227	Foul little git. Least we’ve got Bogrod.
RON	228	That’s unfortunate.
HERMIONE	229	We can’t just stand here! Who’s got an idea?
RON	230	You’re asking us? You’re the brilliant one.
HERMIONE	231	I’ve got something. But it’s mad.
HERMIONE	232	Relashio!
RON	233	That’s your idea?
HARRY	234	Come on!
HERMIONE	235	It doesn’t realize it’s free!
RON	236	That was brilliant! BRILLIANT!
RON	237	Bloody hell.
HARRY	238	We’re dropping!
RON	239	I say we jump!
HERMIONE	240	When?
HARRY	241	NOW!
HERMIONE	242	How is it you --
HARRY	243	I saw him.
HERMIONE	244	You let him in! Harry, you can’t --
HARRY	245	I can’t always help it, Hermione!
RON	246	Never mind! What did you see?
HARRY	247	I reckon he’ll do anything to stop us from finding the rest. There’s
HERMIONE	248	You saw it?
HARRY	249	I saw the castle. And Rowena Ravenclaw. I think it must have something to do with her. We have to go there, now.
HERMIONE	250	Tonight? But we have to plan. We have to figure out what --
HARRY	251	Honestly, Hermione, when have any of our plans actually worked? We plan, we get there and all hell breaks loose.
HARRY	252	We’ll go to Hogsmeade. To Honeydukes. Take the secret passage in the cellar. Harry looks off then, over the lake, in the direction the dragon flew off.
RON	253	Maybe it’s because of the
HERMIONE	254	They were ready for us. Suddenly BEAMS of LIGHT fracture the mist. DEATH EATER #1 (O.S.) We know you’re here, Potter. There’s no getting away.
HERMIONE	255	No, you’ll give us away.
HARRY	256	Expecto Patronum!
ABERFORTH	257	In here, Potter. 211-212 OMITTED 211-212
RON	258	Did you get a look at him! For a second I thought it was --
HERMIONE	259	Harry! I can see you! In here!
ABERFORTH	260	You bloody fools! What were you thinking coming here? Do you have any idea how dangerous it is --
HARRY	261	You’re Aberforth.
HARRY	262	Dumbledore’s brother. It’s you I’ve been seeing -- here. It’s you who sent Dobby.
ABERFORTH	263	Where’ve you left him?
ABERFORTH	264	Sorry to hear it. I liked that elf.
HARRY	265	How’d you come by it? Harry nods to the shard in Hermione’s hand.
ABERFORTH	266	Mundungus Fletcher, ‘bout a year ago.
HARRY	267	Dung had no right selling you that. It belonged to --
ABERFORTH	268	Right then. Reckon you’re hungry. Let’s get you fed, then think of
HERMIONE	269	Do you hear much from the others? From the Order?
HARRY	270	We need to get into Hogwarts.
ABERFORTH	271	You know what to do... *
HERMIONE	272	Mr. Dumbledore... thank you.
HERMIONE	273	Did save our lives twice. Kept an eye on us in that mirror. That doesn’t seem like someone who’s given up, does it?
NEVILLE	274	I knew you’d come! I told them all! Harry Potter would never abandon Hogwarts! *
HARRY	275	Neville, you look...
