annotation_label,word,tfidf_score
Danger,harry,0.39566440274160475
Danger,dangerous,0.1781235507559054
Danger,don,0.1630901896187786
Danger,just,0.14270391591643128
Danger,azkaban,0.14249884060472431
Danger,stop,0.13218820636216033
Danger,die,0.12875069088520377
Danger,careful,0.12875069088520377
Danger,danger,0.12875069088520377
Danger,possible,0.12875069088520377
Duty,harry,0.4657715154402853
Duty,tell,0.23324218955767068
Duty,word,0.2050252984452711
Duty,hide,0.18524465681090313
Duty,time,0.17598887818062026
Duty,got,0.14665739848385023
Duty,yes,0.14665739848385023
Duty,ve,0.14665739848385023
Duty,im,0.13143662135880868
Duty,agree,0.12349643787393542
Informative,know,0.1785979982950234
Informative,harry,0.1785979982950234
Informative,think,0.1637148317704381
Informative,little,0.1511963486334344
Informative,feast,0.14206246541290474
Informative,like,0.13496429181820666
Informative,ve,0.13496429181820666
Informative,just,0.13496429181820666
Informative,time,0.11809375534093082
Informative,moment,0.11792404651737358
Magic,harry,0.23203251867886468
Magic,potion,0.18384672025963397
Magic,know,0.1392195112073188
Magic,wand,0.13788504019472547
Magic,dark,0.13643545782438402
Magic,professor,0.1315080720161145
Magic,like,0.11835726481450305
Magic,ministry,0.11490420016227124
Magic,gryffindor,0.11490420016227124
Magic,arts,0.1107395781839641
Mockery,yeah,0.19656870363752532
Mockery,bloody,0.1721886875946043
Mockery,know,0.16046385170223187
Mockery,sleep,0.15892574575135818
Mockery,blimey,0.12763799482687144
Mockery,smells,0.12763799482687144
Mockery,mental,0.12763799482687144
Mockery,like,0.12126054219061717
Mockery,don,0.12126054219061717
Mockery,just,0.12126054219061717
Relationship,harry,0.5304957313923322
Relationship,hagrid,0.20614594961777355
Relationship,think,0.18262967802031108
Relationship,mum,0.16602216031733696
Relationship,got,0.13801098217395424
Relationship,tell,0.13438226416251176
Relationship,draco,0.1205860695635816
Relationship,like,0.11829512757767505
Relationship,evening,0.1037638501983356
Relationship,going,0.09857927298139589
Storyline,choosen,0.18599682998676256
Storyline,know,0.15588758287093635
Storyline,harry,0.15588758287093635
Storyline,cup,0.15439334216602021
Storyline,wizard,0.15277020838308122
Storyline,voldemort,0.14725289075380263
Storyline,thing,0.13382243052049736
Storyline,tri,0.13197031071111537
Storyline,malfoy,0.13197031071111537
Storyline,tournament,0.13197031071111537
