annotation_label,word,tf,idf,tfidf
Danger,dangerous,0.004604051565377533,1.252762968495368,0.0057677853061481035
Danger,possible,0.0027624309392265192,1.9459101490553132,0.005375442400705285
Danger,die,0.0027624309392265192,1.9459101490553132,0.005375442400705285
Danger,danger,0.0027624309392265192,1.9459101490553132,0.005375442400705285
Danger,they'll,0.0027624309392265192,1.9459101490553132,0.005375442400705285
Danger,careful,0.0027624309392265192,1.9459101490553132,0.005375442400705285
Danger,azkaban,0.003683241252302026,1.252762968495368,0.004614228244918483
Danger,killed,0.001841620626151013,1.9459101490553132,0.003583628267136857
Danger,voices,0.001841620626151013,1.9459101490553132,0.003583628267136857
Danger,water,0.001841620626151013,1.9459101490553132,0.003583628267136857
Duty,hide,0.004470938897168405,1.9459101490553132,0.00870004537580617
Duty,without,0.004470938897168405,1.9459101490553132,0.00870004537580617
Duty,*,0.007451564828614009,0.8472978603872037,0.0063136949358211895
Duty,run,0.0029806259314456036,1.9459101490553132,0.005800030250537446
Duty,agree,0.0029806259314456036,1.9459101490553132,0.005800030250537446
Duty,hurry,0.0029806259314456036,1.9459101490553132,0.005800030250537446
Duty,word,0.004470938897168405,1.252762968495368,0.005601026684778098
Duty,we've,0.004470938897168405,0.8472978603872037,0.003788216961492714
Duty,do?,0.004470938897168405,0.8472978603872037,0.003788216961492714
Duty,im,0.004470938897168405,0.8472978603872037,0.003788216961492714
Informative,put,0.0036407766990291263,1.252762968495368,0.004561030225104496
Informative,whole,0.0018203883495145632,1.9459101490553132,0.0035423121645424393
Informative,brilliant!,0.0018203883495145632,1.9459101490553132,0.0035423121645424393
Informative,champion,0.0018203883495145632,1.9459101490553132,0.0035423121645424393
Informative,ingenious,0.0018203883495145632,1.9459101490553132,0.0035423121645424393
Informative,feast,0.0018203883495145632,1.9459101490553132,0.0035423121645424393
Informative,little,0.0036407766990291263,0.8472978603872037,0.003084822307234965
Informative,moment,0.0024271844660194173,1.252762968495368,0.00304068681673633
Informative,whats,0.0012135922330097086,1.9459101490553132,0.0023615414430282924
Informative,cannon,0.0012135922330097086,1.9459101490553132,0.0023615414430282924
Magic,potion,0.003501750875437719,1.252762968495368,0.00438686382164461
Magic,arts,0.002001000500250125,1.9459101490553132,0.003893767181701477
Magic,polyjuice,0.002001000500250125,1.9459101490553132,0.003893767181701477
Magic,snare,0.0015007503751875938,1.9459101490553132,0.002920325386276108
Magic,defense,0.0015007503751875938,1.9459101490553132,0.002920325386276108
Magic,fascinating,0.0015007503751875938,1.9459101490553132,0.002920325386276108
Magic,nimbus,0.0015007503751875938,1.9459101490553132,0.002920325386276108
Magic,parseltongue,0.0015007503751875938,1.9459101490553132,0.002920325386276108
Magic,devil's,0.0015007503751875938,1.9459101490553132,0.002920325386276108
Magic,chess,0.0015007503751875938,1.9459101490553132,0.002920325386276108
Mockery,blimey,0.0030627871362940277,1.9459101490553132,0.005959908572910608
Mockery,smells,0.0030627871362940277,1.9459101490553132,0.005959908572910608
Mockery,sleep,0.004594180704441042,1.252762968495368,0.0057554194570997004
Mockery,yeah,0.007656967840735069,0.5596157879354227,0.004284960091389147
Mockery,can't,0.007656967840735069,0.5596157879354227,0.004284960091389147
Mockery,that?,0.004594180704441042,0.8472978603872037,0.003892639481105071
Mockery,old,0.004594180704441042,0.8472978603872037,0.003892639481105071
Mockery,wrong,0.0030627871362940277,1.252762968495368,0.0038369463047331336
Mockery,shut,0.0030627871362940277,1.252762968495368,0.0038369463047331336
Mockery,honestly,0.0030627871362940277,1.252762968495368,0.0038369463047331336
Relationship,mum,0.002837454398054317,1.9459101490553132,0.00552143131065553
Relationship,hagrid,0.004053506282934738,1.252762968495368,0.005078082563823948
Relationship,loved,0.0016214025131738954,1.9459101490553132,0.003155103606088874
Relationship,evening,0.0016214025131738954,1.9459101490553132,0.003155103606088874
Relationship,talk,0.0016214025131738954,1.9459101490553132,0.003155103606088874
Relationship,draco,0.002026753141467369,1.252762968495368,0.002539041281911974
Relationship,fred,0.0012160518848804217,1.9459101490553132,0.002366327704566656
Relationship,haven't,0.0012160518848804217,1.9459101490553132,0.002366327704566656
Relationship,wise,0.0012160518848804217,1.9459101490553132,0.002366327704566656
Relationship,bring,0.0012160518848804217,1.9459101490553132,0.002366327704566656
Storyline,choosen,0.00430416068866571,1.9459101490553132,0.008375509967239512
Storyline,points,0.0028694404591104736,1.9459101490553132,0.005583673311493008
Storyline,desire,0.0028694404591104736,1.9459101490553132,0.005583673311493008
Storyline,hollow,0.0028694404591104736,1.9459101490553132,0.005583673311493008
Storyline,godric's,0.0028694404591104736,1.9459101490553132,0.005583673311493008
Storyline,contests,0.0028694404591104736,1.9459101490553132,0.005583673311493008
Storyline,tri-wizard,0.00430416068866571,1.252762968495368,0.005392093121213922
Storyline,first,0.00430416068866571,0.8472978603872037,0.003646906142269169
Storyline,tournament,0.00430416068866571,0.8472978603872037,0.003646906142269169
Storyline,powerful,0.0028694404591104736,1.252762968495368,0.003594728747475949
