movie,character,speech_id,text
the_order_phoenix,DUMBLEDORE,282,"--you have the right to dismiss my teachers. You do not, however,"
the_order_phoenix,DUMBLEDORE,283,I trust you all have studying to do?
the_order_phoenix,DUMBLEDORE,371,"...in the dream, were you standing beside the victim, or looking down"
the_order_phoenix,DUMBLEDORE,374,Everard.
the_order_phoenix,DUMBLEDORE,375,Phineas: I need you to go to your portrait at Grimmauld Place. Tell
the_order_phoenix,DUMBLEDORE,378,"Yes, Severus. I'm afraid we daren't wait even until morning."
the_order_phoenix,DUMBLEDORE,435,Naturally.
the_order_phoenix,DUMBLEDORE,438,"Ah, I thought we might hit that little snag. You seem to be laboring under the delusion that I am going to--what is the phrase? 'Come quietly.' But I'm afraid I have no intention of going to Azkaban."
the_order_phoenix,DUMBLEDORE,645,Harry--
the_order_phoenix,DUMBLEDORE,646,"It was foolish of you to come here tonight, Tom. The Aurors are on"
the_order_phoenix,DUMBLEDORE,650,Harry! Stay where you are--!
the_order_phoenix,DUMBLEDORE,653,Don't fight him Harry! You can't
the_order_phoenix,DUMBLEDORE,657,Harry...it's not how you are alike--it's how you're not.
the_order_phoenix,DUMBLEDORE,663,Please. Come in?
the_order_phoenix,DUMBLEDORE,664,Harry...I know how you must be feeling... 135.
the_order_phoenix,DUMBLEDORE,665,"No, Harry....the fault is mine."
the_order_phoenix,DUMBLEDORE,666,"Harry...as much as it pains me to disillusion you, I am all too fallible...and this war that has now begun may just as easily be lost as won."
the_order_phoenix,DUMBLEDORE,667,"I knew it was only a matter of time before Voldemort became aware of the connection between you, and tried to exploit it. I thought by distancing myself from you, as I"
the_order_phoenix,DUMBLEDORE,668,Yes.
goblet_of_fire_all_speeches,DUMBLEDORE,103,"Now we're all settled in and sorted, I'd like to make an announcement. This castle will not only be your home this year but home to some very special guests as well. You see Hogwarts has been choosen..."
goblet_of_fire_all_speeches,DUMBLEDORE,104,"So Hogwarts has been choosen to host a legendary event. The Tri-Wizard tournament. Now for those of you who do not know, the tri-wizard tournament brings together three schools for a series of magical contests. From each school a single contestant is selected to compete. Now let me be clear, if choosen you stand alone. And trust me when I say these contests are not for the faint hearted, but more of that later. For now please join me in welcoming the lovely ladies of the Beauxbatons Academy of magic"
goblet_of_fire_all_speeches,DUMBLEDORE,106,"And now our friends from the north, please greet the proud sons of Durmstrang and the high master Igor Karkaroff."
goblet_of_fire_all_speeches,DUMBLEDORE,108,Igor.
goblet_of_fire_all_speeches,DUMBLEDORE,110,"Not to worry Madame Maxime, our gamekeeper Hagrid's more than capable of seeing"
goblet_of_fire_all_speeches,DUMBLEDORE,113,"Your attention please! I would like to say a few words. Eternal glory, that is what awaits the student who wins the tri-wizard tournament. But to do this that student must survive three tasks. Three extremely dangerous tasks."
goblet_of_fire_all_speeches,DUMBLEDORE,115,"For this reason the ministry has seen fit to impose a new rule. To explain all this we have the head of the department of international magic cooperation Mister Bartimus Crouch."
goblet_of_fire_all_speeches,DUMBLEDORE,117,"My dear old friend, thanks for coming."
goblet_of_fire_all_speeches,DUMBLEDORE,122,Silence!
goblet_of_fire_all_speeches,DUMBLEDORE,123,The goblet of fire. Anyone wishing to submit themselves for the tournament
goblet_of_fire_all_speeches,DUMBLEDORE,145,"Sit down please. And now the moment you've all been waiting for, the champions selection!"
goblet_of_fire_all_speeches,DUMBLEDORE,146,The Durmstrang champion is ... Viktor Krum!
goblet_of_fire_all_speeches,DUMBLEDORE,147,The champion from Beauxbatons... Fleur Delacour
goblet_of_fire_all_speeches,DUMBLEDORE,148,The Hogwarts champion... Cedric Diggory.
goblet_of_fire_all_speeches,DUMBLEDORE,149,"Excellent! we now have our three champions! But in the end only one will go down in history. Only one will hoist this chalice of champions, this vessel of victory the tri-wizard cup!"
goblet_of_fire_all_speeches,DUMBLEDORE,153,Harry! Did you put your name in the goblet of fire?
goblet_of_fire_all_speeches,DUMBLEDORE,155,Did you ask one of the older students to do it for you?
goblet_of_fire_all_speeches,DUMBLEDORE,157,You're absolutely sure?
goblet_of_fire_all_speeches,DUMBLEDORE,160,That doesn't help Alastor. Leave this to you Barty.
goblet_of_fire_all_speeches,DUMBLEDORE,163,What do you suggest Minerva?
goblet_of_fire_all_speeches,DUMBLEDORE,165,You heard Barty the rules are clear.
goblet_of_fire_all_speeches,DUMBLEDORE,167,"I agree with Severus. Alastor, keep an eye on Harry will you?"
goblet_of_fire_all_speeches,DUMBLEDORE,274,"Good day champions. Gather round please. Now you've waited, you've wondered and at last the moment has arrived. The moment only four of you can fully appreciate."
goblet_of_fire_all_speeches,DUMBLEDORE,275,What are you doing here Miss Granger?
goblet_of_fire_all_speeches,DUMBLEDORE,277,Barty. The bag.
goblet_of_fire_all_speeches,DUMBLEDORE,286,Very well. Good luck champions. Mr Diggory the sound of the cannon...
goblet_of_fire_all_speeches,DUMBLEDORE,462,Harry!
goblet_of_fire_all_speeches,DUMBLEDORE,463,I want all the judges over here now.
goblet_of_fire_all_speeches,DUMBLEDORE,472,Attention! Attention! The winner is... Mr Diggory!
goblet_of_fire_all_speeches,DUMBLEDORE,473,"For showing unique command of the bubblehead shark. The way I see it, Mr Potter would have finished first had it not been"
goblet_of_fire_all_speeches,DUMBLEDORE,485,"But surely that is what's right, no matter what others think."
goblet_of_fire_all_speeches,DUMBLEDORE,489,"Oh not necessary Harry the minister and I are done. I'll be back in a moment. Minister, after you. Harry do feel free to indulge in a liquorice snack in my absence, but I have to warn you they're a little bit sharp."
goblet_of_fire_all_speeches,DUMBLEDORE,503,The counsel is very much aware you have given evidence on this matter. Severus Snape was indeed a deatheater and prior to Lord Voldemort's downfall turned spy for us at great personal risk. Today he's no more a deatheater than I am.
goblet_of_fire_all_speeches,DUMBLEDORE,516,"Curiosity's not a sin Harry, but you should exercise caution. It's a pensieve, useful if like me you find your mind a wee bit stretched. It allows me to see what small things I've already seen. You see Harry I've searched and searched for something, some small detail. Something I might have overlooked, something that would explain why these terrible things have happened. Every time I get close to an answer it slips away, it's maddedning."
goblet_of_fire_all_speeches,DUMBLEDORE,519,Have there been other dreams like this?
goblet_of_fire_all_speeches,DUMBLEDORE,521,"I think it's unwise for you to linger over these dreams Harry, I think it's best that you simply..."
goblet_of_fire_all_speeches,DUMBLEDORE,531,Earlier today Professor Moody placed the tri-wizards cup deep within the
goblet_of_fire_all_speeches,DUMBLEDORE,532,On the count of three... ONE...  The cannon goes off.
goblet_of_fire_all_speeches,DUMBLEDORE,583,Harry! Harry!
goblet_of_fire_all_speeches,DUMBLEDORE,584,Tell me what happened!
goblet_of_fire_all_speeches,DUMBLEDORE,586,"It's alright Harry. It's alright, he's home, you both are."
goblet_of_fire_all_speeches,DUMBLEDORE,594,Severus...
goblet_of_fire_all_speeches,DUMBLEDORE,595,Do you know who I am?
goblet_of_fire_all_speeches,DUMBLEDORE,596,Are you Alastor Moody? Are ya?
goblet_of_fire_all_speeches,DUMBLEDORE,597,Are you alright Alastor?
goblet_of_fire_all_speeches,DUMBLEDORE,601,Now we know who's been stealing it from your store Severus.
goblet_of_fire_all_speeches,DUMBLEDORE,602,We'll get you up in a minute.
goblet_of_fire_all_speeches,DUMBLEDORE,604,Your arm Harry.
goblet_of_fire_all_speeches,DUMBLEDORE,606,"Send an owl to Azkaban, think they'll find they're missing a prisoner."
goblet_of_fire_all_speeches,DUMBLEDORE,608,Perhaps. Personally I've never had much time for heroes.
