character	speech_id	text
HERMIONE	3	"Coming, Mum."
HERMIONE	9	Obliviate.
HERMIONE	10	Goodbye.
RON	11	What are those?
RON	14	C’mon. Mum’s got dinner ready.
VOLDEMORT	15	Severus. I was beginning to worry you’d lost your way. Come. I’ve saved you a seat.
VOLDEMORT	16	"You know our hosts, of course, Severus. Narcissa in particular has been most hospitable. Lucius, on the other hand, is, I fear, burdened by my presence. Are you, Lucius?"
VOLDEMORT	18	Are you burdened?
VOLDEMORT	20	"You bring news I trust, Severus?"
SNAPE	21	It will happen Saturday next. At nightfall.
VOLDEMORT	22	And this information comes --
SNAPE	23	from the source we discussed.
SNAPE	25	This is a false trail. The Auror Office no longer plays any part in
VOLDEMORT	26	"Pius, what say you?"
VOLDEMORT	28	"Spoken like a true politician. You will, I think, prove most"
SNAPE	29	"To a safehouse. Likely the home of someone in the Order. I’m told it has been given every manner of protection possible. Once there, it will be impractical to attack him. We may have compromised the Ministry, but there are those who"
VOLDEMORT	31	Wormtail! Have I not spoken to you about keeping our guest quiet?
VOLDEMORT	33	"As inspiring as I find your bloodlust, Bellatrix, I must be"
VOLDEMORT	34	"Come now. Surely one of you would like the honor? What about... you, Lucius?"
VOLDEMORT	35	I require your wand.
VOLDEMORT	36	Do I detect elm?
VOLDEMORT	38	And the core?
VOLDEMORT	40	My wand? You can’t possibly think I would give you my wand.
VOLDEMORT	42	"For those of you who do not know, we are joined tonight by Miss"
VOLDEMORT	44	Avada Kedavra!
VOLDEMORT	45	Nagini... Dinner.
RON	73	"Never done that before, have we?"
VOLDEMORT	93	Avada..
RON	112	Hey ya -- Well... thanks.
HERMIONE	113	Really?
VOLDEMONT	131	Then explain this!
VOLDEMORT	133	"Perhaps our friend’s loyalties lie elsewhere, Wormtail."
VOLDEMONT	135	"I hope so, Ollivander, for your sake. I won’t be so forgiving next time..."
RON	137	For you? You think Madeye died for you? You think George took that curse for you? You may be
RON	139	And leave Hermione? Are you mad? We wouldn’t last two days without
RON	142	"Tonight’s not the night, mate. You’d only be doing him a favor."
RON	143	Do you think he knows?
RON	144	"I mean, they’re bits of his soul,"
RON	145	"What I’m saying is, if we do this thing right, if we find the Horcruxes and begin to destroy"
RON	161	Dumbledore? And me? I dunno. I reckon I was just another Weasley
HERMIONE	163	"We were friendly, not close like Harry, but --"
RON	169	Dumbledore left this? For me? Brilliant. Er -- what is it? 
RON	170	Wicked.
RON	172	"Mum used to read me those! The Wizard and the Hopping Pot,"
RON	173	"Oh, c’mon! Beedle’s stories are famous! Babbity Rabbitty? No...?"
HERMIONE	177	To Harry! It belongs to Harry!
HERMIONE	181	"Where is your guard, sir?"
HERMIONE	218	Ron! Ron!
RON	220	Where are we?
HERMIONE	221	Shaftesbury Avenue. I used to come here to the theater with my mum and dad. Just popped into my head. I don’t know why...
HERMIONE	222	This way!
HERMIONE	223	We need to change.
RON	224	How the ruddy --
HERMIONE	225	Undetectable Extension Charm.
RON	226	"You’re amazing, you are."
HERMIONE	227	Always the tone of surprise.
HERMIONE	228	That’ll be the books.
RON	230	"They were after you, mate. We’d just put everyone in danger going back."
HERMIONE	231	"Ron’s right. Cappuccino, please. "
HERMIONE	234	"Too dangerous. If Voldemort’s taken over the Ministry, none of"
HERMIONE	237	I’ve had the essentials packed for days. Just in case.
RON	238	By the way -- these jeans? Not my favorite. Bit tight.
HERMIONE	241	Petrificus Totalus!
HERMIONE	242	Go.
RON	244	This is Dolohov. I recognize him from the wanted posters.
RON	245	"So what do we do with you, huh? Kill us if it was turned round, wouldn’t you?"
RON	247	You’re the boss.
RON	248	You’re the best with spells.
HERMIONE	249	Obliviate. 
HERMIONE	251	Maybe you still have the Trace on you.
RON	252	Can’t be. The Trace breaks at seventeen. It’s Wizarding law.
RON	253	What?
