character	speech_id	text
VOLDEMORT	643	"NO. Because he ""loved"" you."
VOLDEMORT	644	"Why did your mother and father die? Why will your friends die, when"
VOLDEMORT	647	"Yes. By which time I shall be gone, and you dead--"
VOLDEMORT	649	suddenly inhales deeply--focuses intently--
VOLDEMORT	651	LOOK AT ME!
VOLDEMORT	659	"You are a fool, Harry Potter..."
VOLDEMORT	660	And you will lose everything.
RON	670	Feast's about to start.
RON	672	You know...I'm not really that hungry. I could...
HERMIONE	682	"What's that, Harry?"
RON	684	What's that?
